,book_rank,book_poster,book_name,book_writer,book_rating,book_review,book_price
122,123,"https://images-eu.ssl-images-amazon.com/images/I/81jeiB3E7oL._AC_UL302_SR302,200_.jpg",Pathfinder NDA/NA National Defence Academy & Naval Academy Entrance Examination,Arihant Experts,4.5,467,460.00
123,124,"https://images-eu.ssl-images-amazon.com/images/I/81NyYpjD-KL._AC_UL302_SR302,200_.jpg",Oswaal CBSE Class 10 Science Chapterwise & Topicwise Question Bank Book (For 2022-23 Exam),Oswaal Editorial Board,4.5,103,450.00
124,125,"https://images-eu.ssl-images-amazon.com/images/I/71s8qpa4F6L._AC_UL302_SR302,200_.jpg",Great Stories for Children,Ruskin Bond,4.5,10238,136.00
125,126,"https://images-eu.ssl-images-amazon.com/images/I/71KKZlVjbwL._AC_UL302_SR302,200_.jpg",WINGS OF FIRE: AUTOBIOGRAPHY OF ABDUL KALAM,Arun Tiwari,4.6,12949,335.00
126,127,"https://images-eu.ssl-images-amazon.com/images/I/713fASvcE5L._AC_UL302_SR302,200_.jpg","Harrison's Principles of Internal Medicine, Twenty-First Edition (Vol.1 & Vol.2)",,4.3,46,"1,015.00"
127,128,"https://images-eu.ssl-images-amazon.com/images/I/81vclYdkPTL._AC_UL302_SR302,200_.jpg",My First Shapes and Colours Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.5,1053,151.00
128,129,"https://images-eu.ssl-images-amazon.com/images/I/81jQHeVIf8L._AC_UL302_SR302,200_.jpg","National Science Olympiad (NSO) Work Book for Class 5 - Quick Recap, MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",ANIL AHLAWAT,4.1,23,85.00
129,130,"https://images-eu.ssl-images-amazon.com/images/I/612RWorGXVL._AC_UL302_SR302,200_.jpg","MTG Objective NCERT at your FINGERTIPS for NEET-AIIMS - Physics, Chemistry, Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022) Set of 3 Books",,4.6,61,"1,529.00"
130,131,"https://images-eu.ssl-images-amazon.com/images/I/71HuyKCcs4L._AC_UL302_SR302,200_.jpg",The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,4.5,101541,305.00
131,132,"https://images-eu.ssl-images-amazon.com/images/I/61OmT2h3qGL._AC_UL302_SR302,200_.jpg",CBSE All In One Social Science Class 9 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),Farah Sultan Madhumita Pattrea,4.4,38,310.00
132,133,"https://images-eu.ssl-images-amazon.com/images/I/51Sml2vtu7L._AC_UL302_SR302,200_.jpg",MINDSET (REVISED AND UPDATED),Carol Dweck,4.5,1778,241.00
133,134,"https://images-eu.ssl-images-amazon.com/images/I/81jEXbKr0lL._AC_UL302_SR302,200_.jpg",Quantitative Aptitude for Competitive Examinations: (Fully Revised Video Edition) 2022,R. S Aggarwal,4.3,107,433.00
134,135,"https://images-eu.ssl-images-amazon.com/images/I/61N0kP1YxeL._AC_UL302_SR302,200_.jpg",CBSE All In One English Language & Literature Class 10 2022-23 Edition,Vaishali Jaiswal Dolly Jain,4.1,59,304.00
135,136,"https://images-eu.ssl-images-amazon.com/images/I/61AtWVLF2CL._AC_UL302_SR302,200_.jpg",Think And Grow Rich,Napoleon Hill,4.5,75044,104.00
136,137,"https://images-eu.ssl-images-amazon.com/images/I/81w3D-8ms3L._AC_UL302_SR302,200_.jpg","MTG Objective NCERT at your FINGERTIPS - Physics, Best Books for NEET & JEE Preparation (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,4.5,3511,450.00
137,138,"https://images-eu.ssl-images-amazon.com/images/I/81YXDEvAKcL._AC_UL302_SR302,200_.jpg","Oswaal One for All Olympiad Previous Years' Solved Papers, Class-1 Mathematics Book (For 2022-23 Exam)",Oswaal Ediorial Board,4.6,400,252.00
138,139,"https://images-eu.ssl-images-amazon.com/images/I/818lHwqdF0L._AC_UL302_SR302,200_.jpg",Indian Art and Culture ( English| 4th Edition) | UPSC | Civil Services Exam | State Administrative Exams,Nitin Singhania,4.6,724,640.00
139,140,"https://images-eu.ssl-images-amazon.com/images/I/718RWsJMXlL._AC_UL302_SR302,200_.jpg","NCERT Summary (Class VI – XII) One linear for UPSC/IAS Preparation, State Civil Services, Competitive Examinations",Manish Rannjan,4.2,952,151.00
140,141,"https://images-eu.ssl-images-amazon.com/images/I/81XqXdOE5mS._AC_UL302_SR302,200_.jpg",Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5,7296,99.00
141,142,"https://images-eu.ssl-images-amazon.com/images/I/711xMzVPIuL._AC_UL302_SR302,200_.jpg",Think & Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,4.6,2674,89.00
142,143,"https://images-eu.ssl-images-amazon.com/images/I/81m1s4wIPML._AC_UL302_SR302,200_.jpg",Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7,50710,305.00
143,144,"https://images-eu.ssl-images-amazon.com/images/I/71zzGmq1RQL._AC_UL302_SR302,200_.jpg","Sank Magic Practice for kids Copybook, Magic practice book for kids(4 BOOK + 10 REFILL+ 1 pen +1 grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",QSHIXLE,4.4,406,298.00
144,145,"https://images-eu.ssl-images-amazon.com/images/I/519yEF+KvcL._AC_UL302_SR302,200_.jpg",General Knowledge 2023,Manohar Pandey,4.4,280,110.00
